,Echantillon,Type,Value,Depth_cm
31,C1,C,1.8040467459666667,0.31
32,C1,C,1.2047655948867697,0.32
33,C1,C,0.6033450991175393,0.33
34,C1,C,0.0,0.34
0,H1,Db,0.0,
1,H1,SSE,0.0017983156969176915,
2,H1,R_int,-0.022526438598445293,
3,H1,r^2,0.9982285537735167,
0,H1,R,0.0,0.0
1,H1,R,-0.0058862997737071905,0.02428571428571429
2,H1,R,-0.10329574744001567,0.04857142857142858
3,H1,R,-0.1032957829639703,0.07285714285714287
4,H1,R,-0.03507746656939592,0.09714285714285716
5,H1,R,-0.03507746344658087,0.12142857142857144
6,H1,R,-0.051748385268518104,0.14571428571428574
7,H1,R,-0.051748351489249764,0.17
8,H1,R,-0.047942675486821545,0.1942857142857143
9,H1,R,-0.04050410465714379,0.2185714285714286
10,H1,R,-0.04050410461494997,0.24285714285714288
11,H1,R,-0.052851376924813655,0.2671428571428572
12,H1,R,-0.1328907755386867,0.2914285714285715
13,H1,R,0.0,0.3157142857142858
14,H1,R,0.0,0.34
0,H1,C,234.58928973810106,0.0
1,H1,C,225.10794488733669,0.01
2,H1,C,215.06142576618845,0.02
3,H1,C,204.4651790997965,0.03
4,H1,C,193.5256179304002,0.04
5,H1,C,182.57220859702096,0.05
6,H1,C,171.87002561195783,0.06
7,H1,C,161.50599914813705,0.07
8,H1,C,151.56239301941093,0.08
9,H1,C,141.8889592877437,0.09
10,H1,C,132.30678819604634,0.1
11,H1,C,122.75330610975952,0.11
12,H1,C,113.25433601349948,0.12
13,H1,C,103.85688576135314,0.13
14,H1,C,94.65727090870537,0.14
15,H1,C,85.74658461316685,0.15
16,H1,C,77.16657432155827,0.16
17,H1,C,68.94676659084182,0.17
18,H1,C,61.10154813673235,0.18
19,H1,C,53.63933025135821,0.19
20,H1,C,46.56321708118495,0.2
21,H1,C,39.857148864275445,0.21
22,H1,C,33.50531808240981,0.22
23,H1,C,27.514898729634144,0.23
24,H1,C,21.896563022825045,0.24
25,H1,C,16.685288473460965,0.25
26,H1,C,11.946960596686807,0.26
27,H1,C,7.768115606429832,0.27
28,H1,C,4.522843642531541,0.28
29,H1,C,2.5896094371924794,0.29
30,H1,C,1.650916982099001,0.3
31,H1,C,1.102669379532069,0.31
32,H1,C,0.5523170278378539,0.32
33,H1,C,0.0,0.33
0,I4,Db,0.0,
1,I4,SSE,0.007054170565362078,
2,I4,R_int,-0.025778018173936757,
3,I4,r^2,0.9930272498453144,
0,I4,R,0.0,0.0
1,I4,R,-0.11953228639196599,0.023571428571428573
2,I4,R,-0.11953224263776542,0.047142857142857146
3,I4,R,-0.11544586207523858,0.07071428571428572
4,I4,R,-0.03896762562725811,0.09428571428571429
5,I4,R,-0.038967618249810154,0.11785714285714287
6,I4,R,-0.05591148310793042,0.14142857142857143
7,I4,R,-0.05591217697705464,0.165
8,I4,R,-0.04659795037442568,0.18857142857142858
9,I4,R,-0.03983228513025211,0.21214285714285716
10,I4,R,-0.03983229694642604,0.23571428571428574
11,I4,R,-0.06337169346829145,0.2592857142857143
12,I4,R,-0.06683265118075596,0.28285714285714286
13,I4,R,-0.0012466154664133985,0.30642857142857144
14,I4,R,0.0,0.33
0,I4,C,227.95248896515886,0.0
1,I4,C,216.81141111491266,0.01
2,I4,C,205.2794939486045,0.02
3,I4,C,193.69556221993165,0.03
4,I4,C,182.2888566251385,0.04
5,I4,C,171.16113556128673,0.05
6,I4,C,160.3919277613201,0.06
7,I4,C,150.06535041118923,0.07
8,I4,C,140.25865578443927,0.08
9,I4,C,130.8596696467781,0.09
10,I4,C,121.67634162211608,0.1
11,I4,C,112.56608306821249,0.11
12,I4,C,103.55604810149093,0.12
13,I4,C,94.68042298603024,0.13
14,I4,C,86.02554067525762,0.14
15,I4,C,77.68156455851714,0.15
16,I4,C,69.71800771063354,0.16
17,I4,C,62.16481608484221,0.17
18,I4,C,55.0449844349092,0.18
19,I4,C,48.34532061702628,0.19
20,I4,C,42.048606914610524,0.2
21,I4,C,36.13761741129479,0.21
22,I4,C,30.599668548091177,0.22
23,I4,C,25.423633987809726,0.23
24,I4,C,20.61961810237449,0.24
25,I4,C,16.19819309330166,0.25
26,I4,C,12.242084117179083,0.26
27,I4,C,8.862959977071876,0.27
28,I4,C,6.1488528507324505,0.28
29,I4,C,4.124086640362548,0.29
30,I4,C,2.8117370860931787,0.3
31,I4,C,1.9692261813290042,0.31
32,I4,C,1.3057082325069809,0.32
33,I4,C,0.6510783644860163,0.33
34,I4,C,0.0,0.34
0,H3,Db,0.0,
1,H3,SSE,0.0019312744231364176,
2,H3,R_int,-0.022642351981454607,
3,H3,r^2,0.9980984332942375,
0,H3,R,0.0,0.0
1,H3,R,0.0,0.02428571428571429
2,H3,R,-0.10984564213715753,0.04857142857142858
3,H3,R,-0.11433288358059403,0.07285714285714287
4,H3,R,-0.08423520750152917,0.09714285714285716
5,H3,R,-0.03782420111024127,0.12142857142857144
6,H3,R,-0.03782456467716048,0.14571428571428574
7,H3,R,-0.042127546752630605,0.17
8,H3,R,-0.042129059946772004,0.1942857142857143
9,H3,R,-0.03365345459188091,0.2185714285714286
10,H3,R,-0.0336534543033363,0.24285714285714288
11,H3,R,-0.133734330577908,0.2671428571428572
12,H3,R,-0.03506838313271068,0.2914285714285715
13,H3,R,0.0,0.3157142857142858
14,H3,R,0.0,0.34
0,H3,C,230.12873744789607,0.0
1,H3,C,220.308962032895,0.01
2,H3,C,209.88349362733564,0.02
3,H3,C,198.8503458129342,0.03
4,H3,C,187.40352582654347,0.04
5,H3,C,175.89735661015823,0.05
6,H3,C,164.66512363537367,0.06
7,H3,C,153.8138483174763,0.07
8,H3,C,143.44701973544483,0.08
9,H3,C,133.56994410484398,0.09
10,H3,C,124.15669518573301,0.1
11,H3,C,115.15033737269795,0.11
12,H3,C,106.42891697316719,0.12
13,H3,C,97.86377410939272,0.13
14,H3,C,89.46182734338107,0.14
15,H3,C,81.24539721309428,0.15
16,H3,C,73.24836635893185,0.16
17,H3,C,65.51240835561651,0.17
18,H3,C,58.073469471450686,0.18
19,H3,C,50.95307022060253,0.19
20,H3,C,44.17055487238689,0.2
21,H3,C,37.72016588382709,0.21
22,H3,C,31.581397916925283,0.22
23,H3,C,25.736254730911774,0.23
24,H3,C,20.19406488325933,0.24
25,H3,C,14.96493264072547,0.25
26,H3,C,10.370625029761698,0.26
27,H3,C,6.8626191740612,0.27
28,H3,C,4.6481833336299605,0.28
29,H3,C,3.3034881033251753,0.29
30,H3,C,2.396349831025518,0.3
31,H3,C,1.7328636369426837,0.31
32,H3,C,1.157201831903833,0.32
33,H3,C,0.5795122507164316,0.33
34,H3,C,0.0,0.34
0,I2,Db,0.0,
1,I2,SSE,0.0007131652226401666,
2,I2,R_int,-0.022170883067995042,
3,I2,r^2,0.9992984820853895,
0,I2,R,0.0,0.0
1,I2,R,-0.09471847086665096,0.02428571428571429
2,I2,R,-0.07516238376922087,0.04857142857142858
3,I2,R,0.0,0.07285714285714287
4,I2,R,-0.04797687819675124,0.09714285714285716
5,I2,R,-0.0860136389197532,0.12142857142857144
6,I2,R,-0.06457899223546502,0.14571428571428574
7,I2,R,-0.05088980081997311,0.17
8,I2,R,-0.05088473766900029,0.1942857142857143
9,I2,R,-0.03677833281263967,0.2185714285714286
10,I2,R,-0.03677832446496311,0.24285714285714288
11,I2,R,-0.05749091052277763,0.2671428571428572
12,I2,R,-0.0884883362826506,0.2914285714285715
13,I2,R,0.0,0.3157142857142858
14,I2,R,0.0,0.34
0,I2,C,229.19974324356514,0.0
